Symbol,Company,Sector,Sub Industry,Market Cap,Revenue,Net Income,EBITDA,Book Equity,EBITDA Margin,Net Margin,ROE,P/E,P/B,Earnings Yield,Dividend Yield,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,In Screen,Funding Verdict
CPRT,Copart,Industrials,Diversified Support Services,29774096384.0,4638866977.0,1481298328.0,1961246976.0,8773915283.0,0.422786,0.319323,0.16883,20.1,3.3935,0.049751,0.0,0.0,0.16883,0.067612,0.101218,True,Funds more growth than the price implies
GLW,Corning Inc.,Information Technology,Electronic Components,124151906304.0,16963999817.0,1851985003.0,4084999936.0,11941426476.0,0.240804,0.109171,0.155089,67.0372,10.3967,0.014917,0.0077,0.516187,0.075034,0.083287,-0.008253,True,Broadly consistent
CPAY,Corpay,Financials,Transaction & Payment Processing Services,27340656640.0,5020502059.0,1110303804.0,2798278912.0,3542138273.0,0.55737,0.221154,0.313456,24.6245,7.7187,0.04061,0.0,0.0,0.313456,0.071726,0.24173,True,Funds more growth than the price implies
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,60027629568.0,17812000976.0,1127561342.0,4275000064.0,25165969506.0,0.240007,0.063303,0.044805,53.2367,2.3853,0.018784,0.0082,0.436541,0.025246,0.081547,-0.056301,True,Priced above what the balance sheet can fund
CSGP,CoStar Group,Real Estate,Real Estate Services,12666477568.0,3556000066.0,72935571.0,394000000.0,7939846968.0,0.110799,0.020511,0.009186,173.6667,1.5953,0.005758,0.0,0.0,0.009186,0.087409,-0.078223,False,Outside screen
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,411761213440.0,293586989463.0,8794184972.0,13790000128.0,16532003137.0,0.046971,0.029954,0.531949,46.822,24.9069,0.021357,0.0063,0.294979,0.375036,0.080389,0.294646,False,Outside screen
CRWD,CrowdStrike,Information Technology,Systems Software,208288825344.0,5396145069.0,40957394.0,106861000.0,4659927315.0,0.019803,0.00759,0.008789,5085.5,44.6979,0.000197,0.0,0.0,0.008789,0.089912,-0.081122,False,Outside screen
CSX,CSX Corporation,Industrials,Rail Transportation,90122903552.0,14512000363.0,3186256816.0,6831000064.0,14082514525.0,0.470714,0.21956,0.226256,28.2849,6.3996,0.035355,0.0115,0.325276,0.15266,0.07409,0.07857,True,Funds more growth than the price implies
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,75839365120.0,34708001900.0,2692717338.0,5020000256.0,12846986974.0,0.144635,0.077582,0.209599,28.1646,5.9033,0.035506,0.016,0.450634,0.115147,0.074023,0.041124,True,Funds more growth than the price implies
CVS,CVS Health,Health Care,Health Care Services,124354289664.0,412644975875.0,4821718318.0,16679999488.0,79762984571.0,0.040422,0.011685,0.060451,25.7905,1.559,0.038774,0.0273,0.704079,0.017889,0.072552,-0.054663,True,Priced above what the balance sheet can fund
