symbol,name,sector,sub_industry,price,market_cap,price_to_earnings,price_to_sales,price_to_book,dividend_yield,eps,ebitda,revenue,book_equity,net_income,shares_outstanding,ebitda_margin,net_margin,roe,payout_ratio,retention_ratio,earnings_yield,sustainable_growth,range_position,in_base,in_margin,in_returns,in_core,fail_reasons,priced_in_growth,growth_gap,in_screen
BSX,Boston Scientific,Health Care,Health Care Equipment,48.37,70099230720.0,19.582994,3.3386946,2.8069868,0.0,2.47,5711000064.0,20995999670.050682,24973124462.14567,3579596855.0423822,1449229495.9685757,0.27200419859723757,0.1704894699607195,0.14333797988193225,0.0,1.0,0.05106471461922523,0.14333797988193225,0.09167904903417526,True,True,True,True,,0.06702087842134864,0.07631710146058361,True
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,67.66,138210082816.0,14.903085,2.8099475,6.1931353,0.0377,4.54,18929999872.0,49186001808.21884,22316658061.06319,9273925154.960686,2042714791.8415608,0.38486559541493065,0.18854805867573157,0.41556062385740933,0.5618463045,0.43815369550000005,0.06710020106575248,0.18207942304740937,0.962480857580398,True,True,True,True,,0.05980490952041138,0.122274513526998,False
AVGO,Broadcom,Information Technology,Semiconductors,367.24,1747173769216.0,60.902153,23.152107,19.926207,0.007,6.03,42083999744.0,75465000624.60837,87682205108.87997,28688208878.042915,4757580245.114911,0.5576624845382541,0.3801525030225466,0.3271839502948279,0.426315071,0.573684929,0.016419780758818166,0.18770050129482788,0.37690206788919245,True,True,True,True,,0.08261109865853182,0.10508940263629606,True
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,178.06,20302721024.0,18.547916,2.7154293,7.1461253,0.0242,9.6,1808999936.0,7476799717.8199415,2841081029.4636173,1094609243.1225429,114021796.15859823,0.24194842770610708,0.14640077097607546,0.3852791494203445,0.44885956720000003,0.5511404328,0.05391441281058206,0.21234291716034456,0.362808629316709,True,True,True,True,,0.06573851423523808,0.1466044029251065,True
BRO,Brown & Brown,Financials,Insurance Brokers,72.04,24105330688.0,23.015974,3.6177893,1.889326,0.0092,3.13,2892000000.0,6663000160.899364,12758693146.656532,1047330442.1632426,334610364.9083842,0.4340387108154656,0.15718601483897834,0.08208759707497063,0.2117469608,0.7882530392,0.0434480852298495,0.06470579787497062,0.4265325222274218,True,True,True,True,,0.07044836164656772,-0.005742563771597098,True
BLDR,Builders FirstSource,Industrials,Building Products,63.09,6788260352.0,67.83871,0.46981797,1.6948289,0.0,0.93,1022512000.0,14448703083.87736,4005277672.5721397,100064703.23918213,107596455.09589475,0.07076842773113484,0.006925514536376604,0.02498321238714592,0.0,1.0,0.014740846339796259,0.02498321238714592,0.008791704238052313,True,True,True,True,,0.08336661914709168,-0.05838340675994576,True
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,122.86,23603755008.0,26.478449,0.2570683,1.4794923,0.0238,4.64,3126000128.0,91819002996.47992,15953955967.192259,891432713.9599544,192119119.3879212,0.034045241464012,0.009708586293342016,0.05587533846865426,0.6301870862000001,0.3698129137999999,0.037766562535441556,0.020663421728654256,0.7959565069656812,True,True,True,True,,0.07300504685905129,-0.052341625130397036,True
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,145.2,16966802432.0,28.249027,0.99825203,10.447546,0.017,5.14,932641024.0,16996511824.774351,1623998825.3700914,600615457.9922866,116851256.41873279,0.054872495816498626,0.035337571860881545,0.3698373752837576,0.4802334590000001,0.5197665409999999,0.03539944933324606,0.19222909328375754,0.24870227246510537,True,True,True,True,,0.07407024780003926,0.11815884548371827,True
CDNS,Cadence Design Systems,Information Technology,Application Software,306.67,84454768640.0,60.847225,14.467322,12.315076,0.0,5.04,2155915008.0,5837622791.557415,6857835764.878756,1387980676.1196074,275392991.2935729,0.3693138602785304,0.23776470760100432,0.20239338770173987,0.0,1.0,0.01643460322142875,0.20239338770173987,0.2853059633623491,True,True,True,True,,0.08260442855035706,0.11978895915138281,True
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,23.78,7091344384.0,11.6,0.71427727,1.7592661,0.0658,2.05,1704999936.0,9927999506.410166,4030853765.669673,611322791.7241378,298206239.8654331,0.17173650491210646,0.06157562672413791,0.15166087068965517,0.76328,0.23672000000000004,0.08620689655172414,0.03590116130965518,0.28884325804243677,True,True,True,True,,0.05120689655172413,-0.015305735242068956,True
KMX,CarMax,Consumer Discretionary,Automotive Retail,61.43,8717598720.0,38.15528,0.30916202,1.424761,0.0,1.61,1031401024.0,28197508607.29918,6118639350.74023,228476866.99007002,141911097.50936025,0.03657773593986997,0.008102732414129904,0.03734112290618756,0.0,1.0,0.026208692479782615,0.03734112290618756,0.8900628212450029,True,True,True,True,,0.07820608838409782,-0.040864965477910256,True
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",23.74,32515471360.0,10.693693,1.1905632,2.511638,0.0194,2.22,7302000128.0,27310999836.043983,12945922684.7181,3040621163.4035387,1369649172.7042966,0.2673648043585394,0.1113332057287279,0.234870965530804,0.2074576442,0.7925423558,0.09351306419587696,0.18614518833080398,0.06027397260273972,True,True,True,True,,0.04791912111185536,0.13822606721894862,True
CARR,Carrier Global,Industrials,Building Products,57.58,47464636416.0,40.836884,2.1469438,3.6134295,0.0168,1.41,3092999936.0,22108001344.050087,13135619891.297173,1162298321.4060438,824325050.6425842,0.13990409571023557,0.052573649843695724,0.08848445684543414,0.6860596511999999,0.3139403488000001,0.024487666590820203,0.02777884124543415,0.2767722473604825,True,True,True,True,,0.0789805500341309,-0.05120170878869675,True
